NULL;FCC A 0004-00003413;BV540;30;172368
NULL;FCC A 0004-00003413;MCH100;10;131328
NULL;FCC A 0004-00003413;GDC25;10;52531.2
NULL;FCC A 0004-00003413;GFRA40;10;54993.6
NULL;FCC A 0004-00003417;GFRA40;15;62169.12
NULL;FCC A 0004-00003415;BL540;30;144866.88
NULL;FCC A 0004-00003415;BV540;60;257541.12
NULL;FC A 0002-00038707;FV60MA;40;103926.24
NULL;FCC A 0004-00003424;GC40;6;23911.2
NULL;FCC A 0004-00003424;GD40;40;159408
NULL;FCC A 0004-00003424;GF40;35;139482
NULL;FCC A 0004-00003424;GDM25;60;270993.6
NULL;FCC A 0004-00003424;GSSR;40;276307.2
NULL;FCC A 0004-00003424;GC40;74;294904.8
NULL;FCC A 0004-00003421;BCH540;50;281685.6
NULL;FCC A 0004-00003420;BL540MA;150;651900.96
NULL;FCC A 0004-00003424;FDL60;12;37791.36
NULL;FCC A 0004-00003424;GA40;15;59778
NULL;FCC A 0004-00003422;FCH60MA;20;85030.56
NULL;FCC A 0004-00003422;FDL60MA;50;141717.6
NULL;FCC A 0004-00003422;FV16MA;35;82668.6
NULL;FCC A 0004-00003422;GDF25MA;37;123860.02
NULL;FCC A 0004-00003422;GDF25MA;23;76994.06
NULL;FC A 0002-00038710;FDL60;12;37791.36
NULL;FC A 0002-00038710;GA40;30;119556
NULL;FCC A 0004-00003420;BN540MA;100;386311.68
NULL;FCC A 0004-00003424;MCH100;35;334756.8
NULL;FCC A 0004-00003420;BCH540MA;195;988716.46
NULL;FCC A 0004-00003420;BV540MA;30;115893.5
NULL;FCC A 0004-00003420;BCH540MA;5;25351.7
NULL;FCC A 0004-00003420;BV540MA;37;142935.33
NULL;FCC A 0004-00003420;BV540MA;180;695361.02
NULL;FCC A 0004-00003420;BV540MA;3;11589.35
NULL;FCC A 0004-00003424;PV90;40;81881.28
NULL;FCC A 0004-00003413;ML100;10;114912
NULL;FCC A 0004-00003417;FDL60;15;47239.2
NULL;FCC A 0004-00003417;GA40;15;59778
NULL;FC A 0002-00038704;FV1;30;94221
NULL;FCC A 0004-00003414;BCH540MA;7;35492.39
NULL;FCC A 0004-00003414;BV540MA;80;309049.35
NULL;FCC A 0004-00003414;BW425MA;10;53117.85
NULL;FCC A 0004-00003414;BCH540MA;38;192672.95
NULL;FCC A 0004-00003416;CD180MA;17;89427.89
NULL;FCC A 0004-00003416;CD180MA;3;15781.39
NULL;FCC A 0004-00003414;BN540MA;35;135209.08
NULL;FCC A 0004-00003416;FV60MA;130;337760.28
NULL;FCC A 0004-00003416;FDL60MA;50;141717.6
NULL;FCC A 0004-00003416;FV16MA;25;59049
NULL;FCC A 0004-00003416;GDF25MA;50;167378.4
NULL;FCC A 0004-00003415;BW425;12;70823.81
NULL;FCC A 0004-00003415;TCH500;5;26827.2
NULL;FC A 0002-00038707;GA40MA;35;125533.8
NULL;FCC A 0004-00003415;BCH540;25;140842.8
NULL;FCC A 0004-00003415;BN540;30;128770.56
NULL;FC A 0002-00038707;FDL60MA;40;113374.08
NULL;FCC A 0004-00003413;FV60;35;135021.6
NULL;FCC A 0004-00003413;GDM25;15;86184
NULL;FCC A 0004-00003413;BCH540;30;221616
NULL;FCC A 0004-00003413;GF40;20;105062.4
NULL;FCC A 0004-00003413;GC40;10;52531.2
NULL;FCC A 0004-00003413;GN40;10;52531.2
NULL;FCC A 0004-00003417;FV60;15;43302.6
NULL;FCC A 0004-00003417;GD40;25;99630
NULL;FCC A 0004-00003417;GF40;20;79704
NULL;FCC A 0004-00003417;GDM25;20;90331.2
NULL;FCC A 0004-00003417;GSSR;12;82892.16
NULL;FCC A 0004-00003425;A I;380;289543.08
NULL;FCC A 0004-00003425;A I;120;91434.66
NULL;FC A 0002-00038704;GC1;30;98932.05
NULL;FCC A 0004-00003416;GDC25MA;25;83689.2
NULL;FCC A 0004-00003419;BCH540MA;70;354923.86
NULL;FCC A 0004-00003419;BV540MA;150;579467.52
NULL;FC A 0002-00038709;BCH540;15;84505.68
NULL;FC A 0002-00038709;BN540;20;85847.04
NULL;FCC A 0004-00003425;FV5;6;66817.63
NULL;FCC A 0004-00003425;GC5;8;96123.62
NULL;FCC A 0004-00003425;GM5;6;72092.71
NULL;FCC A 0004-00003419;BL540MA;20;86920.12
NULL;FCC A 0004-00003425;CD5;4;46889.57
NULL;FCC A 0004-00003425;GA5;8;96123.61
NULL;FCC A 0004-00003425;GN5;5;60077.26
NULL;FCC A 0004-00003419;BN540MA;40;154524.68
NULL;FC A 0002-00038709;BL540;20;96577.92
NULL;FC A 0002-00038709;BV540;20;85847.04
NULL;FCC A 0004-00003431;BV540MA;180;695361.02
NULL;FCC A 0004-00003431;BW425MA;20;106235.71
NULL;FCC A 0004-00003430;BV540;130;558005.76
NULL;FCC A 0004-00003430;BL540;12;57946.75
NULL;FCC A 0004-00003430;BCH540;50;281685.6
NULL;FCC A 0004-00003430;BN540;12;51508.23
NULL;FCC A 0004-00003429;BCH540;120;676045.44
NULL;FCC A 0004-00003429;BN540;8;34338.82
NULL;FCC A 0004-00003426;FDL60MA;25;70858.8
NULL;FCC A 0004-00003426;FV60MA;57;148094.89
NULL;FCC A 0004-00003426;GFRA40MA;4;14920.59
NULL;FCC A 0004-00003426;FV60MA;23;59757.59
NULL;FCC A 0004-00003427;FV60MA;60;155889.36
NULL;FCC A 0004-00003427;GFRA40MA;35;130555.15
